Task Name,Priority,Owner,Custom Status,% Completed,Tags,Work hours,Start Date,Due Date,Milestone Name,Predecessors,Successors
List,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,None,,
Edit,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,None,,
Create,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,None,,
Login / Start,None,Unassigned User,Closed,100,,00:00,,,None,,
Logged In,None,Unassigned User,Closed,100,,00:00,,,None,,
Login,None,Unassigned User,Closed,100,,00:00,,,None,,
Components,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,None,,
Forms,None,Unassigned User,Closed,100,,00:00,,,None,,
Inputs,None,Unassigned User,Closed,100,,00:00,,,None,,
Search Input,None,Unassigned User,Closed,100,,00:00,,,None,,
Header,None,Unassigned User,Closed,100,,00:00,,,None,,
Card (Task Card),None,Unassigned User,Closed,100,,00:00,,,None,,
Checklist,None,Unassigned User,Closed,100,,00:00,,,None,,
Scheduled,None,Unassigned User,Closed,100,,00:00,,,None,,
Risk,None,Unassigned User,Closed,100,,00:00,,,None,,
Issues,None,Unassigned User,Closed,100,,00:00,,,None,,
Audit,None,Unassigned User,Closed,100,,00:00,,,None,,
Task,None,Unassigned User,Closed,100,,00:00,,,None,,
Quality Assurance - Task,None,Unassigned User,Closed,100,,00:00,,,None,,
Risk Assessment - Task,None,Unassigned User,Closed,100,,00:00,,,None,,
Instructional Banner ,None,Unassigned User,Closed,100,,00:00,,,None,,
Buttons,None,Unassigned User,Closed,100,,00:00,,,None,,
Add  Action Button,None,Unassigned User,Closed,100,,00:00,,,None,,
Counter Button,None,Unassigned User,Closed,100,,00:00,,,None,,
Button,None,Unassigned User,Closed,100,,00:00,,,None,,
Stats Button,None,Unassigned User,Closed,100,,00:00,,,None,,
Large Icon Button,None,Unassigned User,Closed,100,,00:00,,,None,,
Sidebar,None,Paul McAvoy,Closed,100,,00:00,,,None,,
Onboarding,None,Paul McAvoy,Closed,100,,00:00,,,None,,
Manual Checklist,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 4,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 7,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 8,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 9,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 10,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 11,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 12,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 13,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 14,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 15,None,Unassigned User,Closed,100,,00:00,,,None,,
Inside Flow,None,Unassigned User,Closed,100,,00:00,,,None,,
Scheduled 14,None,Unassigned User,Closed,100,,00:00,,,None,,
Rooms 17,None,Unassigned User,Closed,100,,00:00,,,None,,
Risks 9,None,Unassigned User,Closed,100,,00:00,,,None,,
QA 4,None,Unassigned User,Closed,100,,00:00,,,None,,
New Risk Flow 4,None,Unassigned User,Closed,100,,00:00,,,None,,
001 - Location Opening Hours,None,Craig McCreath,Closed,100,,00:00,,,None,,
003 - Automatic Risk Checklist Creation,None,Craig McCreath,Closed,100,,00:00,,,None,,
v1.2 Spec,None,Craig McCreath,Closed,100,,00:00,,,None,,
006 - Control Task Rating,None,Unassigned User,Closed,100,,00:00,,,None,,
v1.3 Spec,None,Unassigned User,Closed,100,,00:00,,,None,,
Authentication,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Companies & Users,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Locations,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Zones,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Checklists,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Checklist Instances,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Training,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Audits,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Tasks,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Issues,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Media,None,Andrew Morgan,Closed,100,,00:00,,,Phase 3 - Peachy API,,
Scheduled Checklists,None,Andrew Morgan,Closed,100,,00:00,,,Phase 4 - Manager Dashboard,,
Adding/Editing Checklists,None,Andrew Morgan,Closed,100,,00:00,,,Phase 4 - Manager Dashboard,,
Recurring Checklists,None,Andrew Morgan,Closed,100,,00:00,,,Phase 4 - Manager Dashboard,,
Ad-Hoc Checklists,None,Andrew Morgan,Closed,100,,00:00,,,Phase 4 - Manager Dashboard,,
Add quality assurance task,None,Andrew Morgan,Closed,100,,00:00,,,Phase 4 - Manager Dashboard,,
Add Risk Assessment,None,Andrew Morgan,Closed,100,,00:00,,,Phase 4 - Manager Dashboard,,
Risk Assessment filter,None,Andrew Morgan,Closed,100,,00:00,,,Phase 4 - Manager Dashboard,,
Email Notifications,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
User code has changed,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
 Subscription confirmations,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
 Email verification,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
 Forgot password,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
 Risk assessment renewal reminder,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
 Issue raised notification,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
 Daily summary (issues & missed checklists),None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
 Weekly summary (full reports),None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Expo setup,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - React Native - Setup & Core Development,,
Setup & Core Development,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - React Native - Setup & Core Development,,
 Create navigation flow for the app,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - React Native - Setup & Core Development,,
Location Selection,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - React Native - Setup & Core Development,,
Zone Selection,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - React Native - Setup & Core Development,,
Login,None,"Andrew Morgan, Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - React Native - Setup & Core Development,,
Forgotten Password (App version),None,"Andrew Morgan, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - React Native - Setup & Core Development,,
Risk Assessment Training,None,"Paul McAvoy, Kasia Borzecka",Closed,100,,00:00,,,Phase 7 - Manager Dashboard Enhancements,,
CR04 | Risk Assessment Sharing,None,"Andrew Morgan, Paul McAvoy, Kasia Borzecka",In Review,0,"""Change request"", ""Design Needed""",00:00,,,Phase 8 - Launch Preparation,,
CR09 | Team Member Stats on Manager Dashboard,None,Paul McAvoy,Closed,100,"""Change request""",00:00,,,Phase 8 - Launch Preparation,,
CR17 | Activate / Deactivate,High,"Andrew Morgan, Matthew Martin",Closed,100,"""Change request""",06:00,,,Phase 8 - Launch Preparation,,
